x,Kx_Pst_I,Kx_Pst_II,Kx_Pst_III,qx_m,qx_w,wx_m,wx_w,Px_I,Px_II,Px_III
41.0000000000,0.0000721752,0.0001270632,0.0003808506,0.0005460000,0.0003910000,0.0285057565,0.0335842059,0.0016660000,0.0044780000,0.0144600000
42.0000000000,0.0000858832,0.0001457804,0.0004077651,0.0006150000,0.0004380000,0.0279421228,0.0326143347,0.0016660000,0.0044780000,0.0144600000
43.0000000000,0.0000995913,0.0001644975,0.0004346796,0.0006970000,0.0004950000,0.0274787821,0.0318596104,0.0016660000,0.0044780000,0.0144600000
44.0000000000,0.0001506149,0.0002495809,0.0004932997,0.0007920000,0.0005630000,0.0269136298,0.0307477874,0.0016660000,0.0044780000,0.0144600000
45.0000000000,0.0002016385,0.0003346643,0.0005519199,0.0008990000,0.0006420000,0.0261393568,0.0293519669,0.0016660000,0.0044780000,0.0144600000
46.0000000000,0.0002526621,0.0004197478,0.0006105401,0.0010150000,0.0007310000,0.0252821908,0.0281281609,0.0016660000,0.0044780000,0.0144600000
47.0000000000,0.0003036857,0.0005048312,0.0006691603,0.0011390000,0.0008290000,0.0243859455,0.0268459423,0.0016660000,0.0044780000,0.0144600000
48.0000000000,0.0003547093,0.0005899146,0.0007277805,0.0012700000,0.0009340000,0.0235208556,0.0255106948,0.0016660000,0.0044780000,0.0144600000
49.0000000000,0.0004187468,0.0007155606,0.0008475693,0.0014120000,0.0010430000,0.0228289360,0.0246436027,0.0016660000,0.0044780000,0.0144600000
50.0000000000,0.0004827843,0.0008412066,0.0009673582,0.0015720000,0.0011570000,0.0224093763,0.0243303937,0.0016660000,0.0044780000,0.0144600000
51.0000000000,0.0005468219,0.0009668527,0.0010871470,0.0017530000,0.0012740000,0.0221742490,0.0242562617,0.0016660000,0.0044780000,0.0144600000
52.0000000000,0.0006108594,0.0010924987,0.0012069359,0.0019620000,0.0013980000,0.0213504164,0.0239320835,0.0016660000,0.0044780000,0.0144600000
53.0000000000,0.0006748969,0.0012181448,0.0013267247,0.0021990000,0.0015300000,0.0203633278,0.0227745511,0.0016660000,0.0044780000,0.0144600000
54.0000000000,0.0009116226,0.0015551383,0.0015951923,0.0024630000,0.0016740000,0.0189995689,0.0207857919,0.0016660000,0.0044780000,0.0144600000
55.0000000000,0.0011483483,0.0018921318,0.0018636599,0.0027510000,0.0018340000,0.0171435568,0.0179879618,0.0016660000,0.0044780000,0.0144600000
56.0000000000,0.0013850741,0.0022291253,0.0021321276,0.0030600000,0.0020130000,0.0150786239,0.0149082779,0.0016660000,0.0044780000,0.0144600000
57.0000000000,0.0016217998,0.0025661188,0.0024005952,0.0033800000,0.0022120000,0.0132869762,0.0124682600,0.0016660000,0.0044780000,0.0144600000
58.0000000000,0.0018585255,0.0029031123,0.0026690628,0.0036410000,0.0024270000,0.0119001344,0.0109618306,0.0016660000,0.0044780000,0.0144600000
59.0000000000,0.0022489197,0.0034327743,0.0030012289,0.0039170000,0.0026520000,0.0108234049,0.0099950413,0.0016660000,0.0044780000,0.0144600000
60.0000000000,0.0026393139,0.0039624363,0.0033333949,0.0042340000,0.0028820000,0.0099457175,0.0091499804,0.0019130000,0.0044780000,0.0144600000
61.0000000000,0.0030297081,0.0044920983,0.0036655609,0.0046160000,0.0030930000,0.0091916898,0.0082955623,0.0022020000,0.0044780000,0.0144600000
62.0000000000,0.0034201023,0.0050217603,0.0039977270,0.0050230000,0.0033290000,0.0084065994,0.0073462027,0.0025415000,0.0044780000,0.0144600000
63.0000000000,0.0038104964,0.0055514223,0.0043298930,0.0054160000,0.0035440000,0.0074097939,0.0063043223,0.0129000000,0.0044780000,0.0144600000
64.0000000000,0.0045372776,0.0069828042,0.0050857246,0.0058770000,0.0037950000,0.0061814802,0.0052597911,0.0157800000,0.0044780000,0.0144600000
65.0000000000,0.0052640588,0.0084141860,0.0058415562,0.0064250000,0.0040920000,0.0049252800,0.0042657288,0.0039530000,0.0044780000,0.0144600000
66.0000000000,0.0059908400,0.0098455679,0.0065973878,0.0070370000,0.0044060000,0.0039002328,0.0034042933,0.0278943800,0.0044780000,0.0144600000
67.0000000000,0.0067176211,0.0112769497,0.0073532194,0.0077010000,0.0047650000,0.0032836475,0.0027661949,0.0345597000,0.0044780000,0.0144600000
68.0000000000,0.0074444023,0.0127083316,0.0081090511,0.0084880000,0.0051860000,0.0030076639,0.0023839079,0.0505489000,0.0044780000,0.0144600000
69.0000000000,0.0103055345,0.0157708325,0.0109711922,0.0094240000,0.0056840000,0.0028844087,0.0021926798,0.0855260000,0.0238310000,0.0144600000
70.0000000000,0.0131666667,0.0188333333,0.0138333333,0.0105360000,0.0062740000,0.0011817909,0.0008836965,0.0855260000,0.0238310000,0.0144600000
71.0000000000,0.0160277988,0.0218958342,0.0166954745,0.0118490000,0.0069760000,0.0003600928,0.0002743591,0.0855260000,0.0238310000,0.0144600000
72.0000000000,0.0188889310,0.0249583351,0.0195576156,0.0133880000,0.0078110000,0.0003076175,0.0002553639,0.0855260000,0.0238310000,0.0144600000
73.0000000000,0.0217500632,0.0280208359,0.0224197568,0.0152160000,0.0088040000,0.0002553472,0.0002424471,0.0855260000,0.0238310000,0.0144600000
74.0000000000,0.0294077230,0.0421382511,0.0295194075,0.0174360000,0.0100730000,0.0002214529,0.0002308659,0.0855260000,0.0238310000,0.0144600000
75.0000000000,0.0370653827,0.0562556663,0.0366190581,0.0199930000,0.0115770000,0.0002053395,0.0002150752,0.0855260000,0.0238310000,0.0144600000
76.0000000000,0.0447230425,0.0703730814,0.0437187088,0.0229240000,0.0133770000,0.0001984613,0.0001896781,0.0855260000,0.0238310000,0.0144600000
77.0000000000,0.0523807022,0.0844904966,0.0508183595,0.0262700000,0.0155220000,0.0001926957,0.0001582636,0.0855260000,0.0238310000,0.0144600000
78.0000000000,0.0600383619,0.0986079117,0.0579180102,0.0300830000,0.0180690000,0.0001840280,0.0001276316,0.0855260000,0.0238310000,0.0144600000
79.0000000000,0.0734386070,0.1185016158,0.0701555535,0.0344230000,0.0210820000,0.0001754808,0.0001051395,0.0855260000,0.0284470000,0.0144600000
80.0000000000,0.0868388520,0.1383953199,0.0823930967,0.0393610000,0.0246280000,0.0001720351,0.0000965054,0.0855260000,0.0339215000,0.0144600000
81.0000000000,0.1002390970,0.1582890239,0.0946306400,0.0449720000,0.0287810000,0.0001720351,0.0000965054,0.0855260000,0.0403830000,0.0144600000
82.0000000000,0.1136393420,0.1781827280,0.1068681832,0.0513370000,0.0336200000,0.0001720351,0.0000965054,0.0855260000,0.0479530000,0.0169560000
83.0000000000,0.1270395870,0.1980764321,0.1191057265,0.0585380000,0.0392310000,0.0001720351,0.0000965054,0.0855260000,0.0567325000,0.0198680000
84.0000000000,0.1668238174,0.2571243303,0.1476605432,0.0666680000,0.0456310000,0.0001720351,0.0000965054,0.1001640000,0.0667835000,0.0232215000
85.0000000000,0.2066080479,0.3161722286,0.1762153600,0.0758270000,0.0529100000,0.0001720351,0.0000965054,0.1169840000,0.0781185000,0.0270195000
86.0000000000,0.2463922784,0.3752201269,0.2047701767,0.0861180000,0.0612310000,0.0001720351,0.0000965054,0.1362175000,0.0907050000,0.0312550000
